year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,0.0,0.0
1954,0.0,1.0,0.0
1955,0.0,0.0,0.0
1956,1.0,0.0,0.0
1957,0.0,0.0,0.0
1958,0.0,0.0,0.0
1959,0.0,0.0,0.0
1960,0.0,0.0,0.0
1961,0.0,1.0,0.0
1962,0.0,0.0,0.0
1963,0.0,1.0,0.0
1964,0.0,0.0,0.0
1965,0.0,0.0,0.0
1966,0.0,1.0,0.0
1967,0.0,1.0,0.0
1968,0.0,0.0,0.0
1969,0.0,1.0,0.0
1970,0.0,1.0,0.0
1971,0.0,0.0,0.0
1972,0.0,0.0,0.0
1973,0.0,0.0,0.0
1974,0.0,0.0,0.0
1975,0.0,0.0,0.0
1976,0.0,0.0,0.0
1977,0.0,0.0,0.0
1978,0.0,1.0,0.0
1979,0.0,0.0,0.0
1980,0.0,0.0,0.0
1981,0.0,0.0,0.0
1982,0.0,1.0,0.0
1983,0.0,0.0,0.0
1984,0.0,0.0,0.0
1985,0.3333333333333333,0.6666666666666666,0.0
1986,0.0,0.0,0.0
1987,0.0,0.0,0.0
1988,0.0,1.0,0.0
1989,0.0,0.0,0.0
1990,0.0,0.0,0.0
1991,0.3333333333333333,0.6666666666666666,0.0
1992,0.0,1.0,0.0
1993,0.0,0.0,0.0
1994,1.0,0.0,0.0
1995,0.0,0.0,0.0
1996,0.0,1.0,0.0
1997,0.0,1.0,0.0
1998,0.0,0.0,0.0
1999,0.0,0.0,0.0
2000,1.0,0.0,0.0
2001,0.0,0.5,0.5
2002,0.25,0.75,0.0
2003,0.0,0.0,1.0
2004,0.0,1.0,0.0
2005,0.3333333333333333,0.6666666666666666,0.0
2006,0.0,1.0,0.0
2007,0.25,0.75,0.0
2008,0.25,0.75,0.0
2009,0.0,1.0,0.0
2010,0.21739130434782608,0.7391304347826086,0.043478260869565216
2011,0.21052631578947367,0.7368421052631579,0.05263157894736842
2012,0.1,0.7,0.2
2013,0.2222222222222222,0.7555555555555555,0.022222222222222223
2014,0.4166666666666667,0.5833333333333334,0.0
2015,0.25,0.75,0.0
2016,0.15384615384615385,0.7692307692307693,0.07692307692307693
2017,0.0,1.0,0.0
